Ref,Val,Package,PosX,PosY,Rot,Side
"BFAST1","Button_DPDT_Orange_Latching","Button_LED_PB61303",113.600200,27.154100,0.000000,bottom
"BMUTE1","Button_DPDT_Orange_Latching","Button_LED_PB61303",113.600200,15.216100,0.000000,bottom
"J1-OUT8","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",70.090000,15.559000,0.000000,bottom
"J2-OUT7","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",70.090000,27.941500,0.000000,bottom
"J3-OUT6","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",70.090000,40.324000,0.000000,bottom
"J4-OUT5","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",70.090000,52.706500,0.000000,bottom
"J5-OUT4","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",70.090000,65.089000,0.000000,bottom
"J6-OUT3","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",70.090000,77.471500,0.000000,bottom
"J7-OUT2","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",70.090000,89.854000,0.000000,bottom
"J8-OUT1","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",70.090000,102.236500,0.000000,bottom
"J9-CLK_IN1","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",70.090000,114.619000,0.000000,bottom
"JFAST1","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",90.105200,34.977300,180.000000,bottom
"JMUTE1","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",90.105200,22.277300,180.000000,bottom
"JPW1","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",90.105200,47.677300,180.000000,bottom
"JRESYNC1","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",90.105200,111.177300,180.000000,bottom
"JROTATE1","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",90.105200,98.477300,180.000000,bottom
"JSHUFFLE1","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",90.105200,73.077300,180.000000,bottom
"JSKIP1","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",90.105200,60.377300,180.000000,bottom
"JSLIP1","3.5mm_Mono_Switched_SymSmall_0.05","EighthInch_PJ398SM",90.105200,85.777300,180.000000,bottom
"LED1","RGB_CA_PLCC4","LED_PLCC-4",81.080580,15.559000,90.000000,bottom
"LED2","RGB_CA_PLCC4","LED_PLCC-4",81.080580,27.941500,-90.000000,bottom
"LED3","RGB_CA_PLCC4","LED_PLCC-4",81.080580,40.324000,-90.000000,bottom
"LED4","RGB_CA_PLCC4","LED_PLCC-4",81.080580,52.706500,-90.000000,bottom
"LED5","RGB_CA_PLCC4","LED_PLCC-4",81.080580,65.089000,90.000000,bottom
"LED6","RGB_CA_PLCC4","LED_PLCC-4",81.080580,77.471500,-90.000000,bottom
"LED7","RGB_CA_PLCC4","LED_PLCC-4",81.080580,89.854000,-90.000000,bottom
"LED8","RGB_CA_PLCC4","LED_PLCC-4",81.080580,102.236500,-90.000000,bottom
"LED9","RGB_CA_PLCC4","LED_PLCC-4",81.080580,114.619000,-90.000000,bottom
"PPW1","9mm_NoDet_100k_Knurled_Lined","Pot_9mm_Knurl_NoDet",113.600200,40.565300,0.000000,bottom
"PROTATE1","9mm_NoDet_100k_Knurled_Lined","Pot_9mm_Knurl_NoDet",113.600200,111.177300,0.000000,bottom
"PSHUFFLE1","9mm_NoDet_100k_Knurled_Lined","Pot_9mm_Knurl_NoDet",113.600200,75.871300,0.000000,bottom
"PSKIP1","9mm_NoDet_100k_Knurled_Lined","Pot_9mm_Knurl_NoDet",113.600200,58.218300,0.000000,bottom
"PSLIP1","9mm_NoDet_100k_Knurled_Lined","Pot_9mm_Knurl_NoDet",113.600200,93.524300,0.000000,bottom
