"4ms Company"
"PCBA Project:","SCMplus","Revision: ","p5"
"EMAIL:","4ms@4mscompany.com"
"DATE:","2022-07-14"
"Component Count:","143"

"Item#","Manufacturer","Manufacter Part#","Designator","Quantity","Designation","Package","SMD/TH","Points","Total Points","Comments","Supplied by:"
"1","RunRun","PB-61303AL-2","BFAST1, BMUTE1","2","Button_DPDT_Orange_Latching, DPDT, Latching, On/On, 8.7mm base, 7.5mm cap, Orange","Button_LED_PB61303","","","",""
"2","Kemet","C0603C331J5GACTU","C1, C3, C6","3","330pF_0603_35V, 330pF, Min 35V, C0G/NP0, 5%","C0603","SMD","2","6",""
"3","Murata","GRM1885C1H102JA01D","C2, C7, C8, C9, C10, C11","6","1nF_0603_50V, 1nF, 50V, 10%, C0G (NP0) or similar","C0603","SMD","2","12",""
"4","Murata Electronics","GCM1885C2A9R0CA16D","C4, C5","2","9pF_0603_50V, 9pF, Min 50V, C0G (NP0) 0603","C0603","SMD","2","4",""
"5","AVX Corporation","0603YC104KAT2A","C12, C15, C16, C17, C18, C19, C20, C23, C24, C25, C26, C27, C28, C29, C30","15","0.1uF_0603_16V, 0.1uF, Min. 16V 10%, X7R or X5R or similar","C0603","SMD","2","30",""
"6","Lelon","VE-470M1CTR-0505","C13, C14","2","47uF_5x5.3_16V, 47uF, 16V, 20%, 5.00mmD*5.30mmH, 2000Hrs@85℃","CP_Elec_5x5.3","SMD","2","4",""
"7","Murata","GRM188R61A106KE69D","C21","1","10uF_0603_10V, 10uF, Min. 10V X5R 10%","C0603","SMD","2","2",""
"8","AVX Corporation","0603YC104KAT2A","C22","1","100nF_0603_16V, 0.1uF, Min. 16V 10%, X7R or X5R or similar","C0603","SMD","2","2",""
"9","Diodes Incorporated","BAT54S-7-F","D1, D2, D3, D4, D5, D6, D7, D8, D9","9","BAT54S, Dual schottky diode BAT54S","SOT23-3_PO132","","","",""
"10","Diodes Incorporated","B140-E3/5AT","D10, D11","2","B140-E3, SCHOTTKY Diode SMA Vrrm>=40V If>=1.0A, Ifsm>=1.5A","D_SMA","","","",""
"11","Wenzhou QingPu Electronics Co","WQP-WQP518MA","J9-CLK_IN1, J1-OUT8, J2-OUT7, J3-OUT6, J4-OUT5, J5-OUT4, J6-OUT3, J7-OUT2, J8-OUT1, JFAST1, JMUTE1, JPW1, JRESYNC1, JROTATE1, JSHUFFLE1, JSKIP1, JSLIP1","17","3.5mm_Mono_Switched_SymSmall_0.05, Audio 3.5mm Jack, mono, switched, PC-pin Vertical","EighthInch_PJ398SM","","","",""
"12","TAD","1-0601FBV0T","J1","1","Conn_01x06, HEADER 1x6 MALE PINS 0.100” 180deg","Pins_1x06_2.54mm_TH_SWD","TH","","",""
"13","TAD","1-0201FBV0T","J2, J4","2","Conn_01x02, Pins_01x02, Header, Male Pins, 1*2, spacing 2.54mm, straight pin","Pins_1x02_2.54mm_TH","TH","","",""
"14","TAD","1-1602FBV0T","J3","1","Conn_02x08, Header, Male Pins, 2*8, spacing 2.54mm, straight pin","Pins_2x08_2.54mm_TH","TH","","",""
"15","Hebei I.T. (Shanghai)","PLCC4RGBCT-CA","LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9","9","RGB_CA_PLCC4, RGB LED, Common Anode PLCC4","LED_PLCC-4","SMD","4","36",""
"16"," Song Huei "," RV16AF-4A-15FW-B100K-3 ","PPW1, PROTATE1, PSHUFFLE1, PSKIP1, PSLIP1","5","9mm_NoDet_100k_Knurled_Lined, 100k Linear, 9mm pot, No Detent, Knurled, Lined","Pot_9mm_Knurl_NoDet","","","",""
"17","Vishay Semiconductor","SI2318DS-T1-GE3","Q1, Q2, Q3, Q4","4","Si2318, MOSFET N-chan, 40Vds, Vgs_th=1.2V, Rds=42mOhms","SOT23-3_PO132","","","",""
"18","Yageo","RC0603FR-072K7L","R1","1","2.7k_0603, 2k7, 1%, 1/10W, 0603","R0603","SMD","2","2",""
"19","","","R2, R4","2","","R0603","SMD","2","4",""
"20","Yageo","RC0603FR-0710KL","R3, R7, R36","3","470R_0603, 10K, 1%, 1/10W, 0603","R0603","SMD","2","6",""
"21","Yageo","RC0603FR-07100KL","R5, R11, R18, R26","4","100k_0603, 100K, 1%, 1/10W, 0603","R0603","SMD","2","8",""
"22","Yageo","RC0603FR-071KL","R6, R8, R12, R14, R15, R19, R23, R28, R31, R34, R35","11","1k_0603, 1K, 1%, 1/10W, 0603","R0603","SMD","2","22",""
"23","Yageo","RC0603FR-0710KL","R9, R10, R21, R24","4","10k_0603, 10K, 1%, 1/10W, 0603","R0603","SMD","2","8",""
"24","Yageo","RC0603FR-07470RL","R13, R27","2","470R_0603, 470R, 1%, 1/10W, 0603","R0603","SMD","2","4",""
"25","Yageo","RC0603FR-0710KL","R16, R44, R45, R47, R48, R50","6","100k_0603, 10K, 1%, 1/10W, 0603","R0603","SMD","2","12",""
"26","Yageo","RC0603FR-074K7L","R17, R20, R25, R29, R32","5","4.7k_0603, 4k7, 1%, 1/10W, 0603","R0603","SMD","2","10",""
"27","Yageo","RC0603FR-0710KL","R22","1","4.7k_0603, 10K, 1%, 1/10W, 0603","R0603","SMD","2","2",""
"28","Yageo","RC0603FR-0715KL","R30, R37, R39","3","100k_0603, 15k,1%,1/10W,0603","R0603","SMD","2","6",""
"29","Yageo","RC0603FR-0759KL","R33, R38, R41","3","59k_0603, 59k, 1%, 1/10W, 0603","R0603","SMD","2","6",""
"30","Yageo","RC0603FR-0747KL","R40","1","470k_0603, 470K, 1%, 1/10W, 0603","R0603","SMD","2","2",""
"31","Yageo","RC0603FR-0727KL","R42","1","27k_0603, 27K, 1%, 1/10W, 0603","R0603","SMD","2","2",""
"32","Yageo","RC0603FR-071KL","R43, R46, R49","3","100R_0603, 1K, 1%, 1/10W, 0603","R0603","SMD","2","6",""
"33","Vishay","T73YE103KT20","TRIM1","1","TrimPot_T73YEt_10k, Trimpot, TH, 10k, single turn, square","Pot_Trim_7x6.6mm_T73YE","","","",""
"34","","","U1","1","STM32F030K6Tx","LQFP-32_7x7mm_P0.8mm","","","",""
"35","ON Semiconductor","NCP51460SN33T1G","U2","1","NCP51460SN33, Precision 3.3V Ref 1% 18PPM 28Vmax 20mAmax","SOT23-3_PO132","","","",""
"36","Texas Instruments","CD40109BPWR","U3, U4","2","CD40109BPWR, CMOS, Quad Level Shifter, TSSOP-14","TSSOP-16_4.4x5mm_P0.65mm","","","",""
"37","STMicroelectronics","TL082CPT","U5, U6, U7, U8","4","TL082 Dual Opamp TSSOP-8","TSSOP-8_4.4x3mm_Pitch0.65mm","SMD","8","32",""
"38","STMicroelectronics","LD1117S33CTR","VR1","1","LD1117-3.3V-SOT223","SOT223","","","",""
"39","Epson Timing","TSX-3225 16.0000MF18X-AC3","Y1","1","16MHz_18pF_FA238, 16MHz 18pF 10ppm ESR:60ohms","FA-238","","","",""
